"DIRECCION
 REGIONAL",CIRCUITO,CODIGO,NOMBRE,PROVINCIA,CANTON,DISTRITO,POBLADO,DEPENDENCIA,ZONA,DireccionPlan,TELEFONO1,TELEFONO2
TOTAL,,,,,,,,,,,,
SAN JOSE CENTRAL,1,0,BILINGÜE BOCA DEL MONTE,SAN JOSE,SAN JOSE,SAN SEBASTIAN,SAN GERARDO,PRIVADA,URBANA,CENTRAL,22278918,-
SAN JOSE CENTRAL,1,0,EL CARMELO,SAN JOSE,SAN JOSE,HOSPITAL,BARRIO CUBA,PRIVADA,URBANA,CENTRAL,22335489,22572114
SAN JOSE CENTRAL,1,0,SAINT GEORGE HIGH SCHOOL,SAN JOSE,SAN JOSE,MATA REDONDA,MATA REDONDA,PRIVADA,URBANA,CENTRAL,22960384,22960373
SAN JOSE CENTRAL,1,0,VIRGEN DE GUADALUPE,SAN JOSE,SAN JOSE,SAN SEBASTIAN,COLONIA KENNEDY,PRIVADA,URBANA,CENTRAL,22266596,22274907
SAN JOSE CENTRAL,1,3942,LICEO DEL SUR,SAN JOSE,SAN JOSE,HOSPITAL,BARRIO CUBA,PUBLICA,URBANA,CENTRAL,40829669,40829669
SAN JOSE CENTRAL,1,3986,LICEO RICARDO FERNANDEZ GUARDIA,SAN JOSE,SAN JOSE,SAN SEBASTIAN,COLONIA KENNEDY,PUBLICA,URBANA,CENTRAL,22262372,22262048
SAN JOSE CENTRAL,1,4157,C.T.P. SAN SEBASTIAN,SAN JOSE,SAN JOSE,SAN SEBASTIAN,COLONIA KENNEDY,PUBLICA,URBANA,CENTRAL,22271827,22262040
SAN JOSE CENTRAL,1,4157,SECCION NOCTURNA C.T.P. DE SAN SEBASTIAN,SAN JOSE,SAN JOSE,SAN SEBASTIAN,COLONIA KENNEDY,PUBLICA,URBANA,CENTRAL,22271827,22262040
SAN JOSE CENTRAL,2,0,GRAYMAR SCHOOL,SAN JOSE,SAN JOSE,CARMEN,BARRIO ESCALANTE,PRIVADA,URBANA,CENTRAL,22332789,22226150
SAN JOSE CENTRAL,2,0,SAGRADO CORAZON,SAN JOSE,SAN JOSE,CATEDRAL,FRANCISCO PERALTA,PRIVADA,URBANA,CENTRAL,22250029,22831839
